none, n, 0
Salmon, 2, F70
Saw Shark, 2, F71
Sea Bass, 2, F72
Sea Butterfly, 2, F73
Sea Horse, 2, F74
Snapping Turtle, 2, F75
Soft-shelled Turtle, 2, F76
Squid, 2, F77
Stringfish, 2, F78
Sturgeon, 2, F79
Suckerfish, 2, F80
Surgeonfish, 2, F81
Sweetfish, 2, F82
Tadpole, 2, F83
Tilapia, 2, F84
Tuna, 2, F85
Whale Shark, 2, F86
Yellow Perch, 2, F87
Zebra Turkeyfish, 2, F88
Acanthostega, 2, I9
Amber, 2, I10
Ammonite, 2, I11
Ankylosaurus Skull, 2, I12
Ankylosaurus Torso, 2, I13
Ankylosaurus Tail, 2, I14
Anomalocaris, 2, I15
Archaeopteryx, 2, I16
Archelon Skull, 2, I17
Archelon Tail, 2, I18
Australopith, 2, I19
Brachio Skull, 2, I20
Brachio Chest, 2, I21
Brachio Pelvis, 2, I22
Brachio Tail, 2, I23
Coprolite, 2, I24
Deinony Skull, 2, I25
Deinony Torso, 2, I26
Deinony Tail, 2, I27
Dinosaur Track, 2, I28
Diplo Skull, 2, I29
Diplo Neck, 2, I30
Diplo Chest, 2, I31
Diplo Pelvis, 2, I32
Diplo Tail, 2, I33
Diplo Tail Tip, 2, I34
Dunkleosteus, 2, I35
Eusthenopteron, 2, I36
Iguanadon Skull, 2, I37
Iguanadon Torso, 2, I38
Iguanadon Tail, 2, I39
Juramaia, 2, I40
Mammoth Skull, 2, I41
Mammoth Torso, 2, I42
Megacero Skull, 2, I43
Megacero Torso, 2, I44
Megacero Tail, 2, I45
Megalo Left Side, 2, I46
Megalo Right Side, 2, I47
Myllokunmingia, 2, I48
Ophthalmo Skull, 2, I49
Opthalmo Torso, 2, I50
Pachy Skull, 2, I51
Pachy Tail, 2, I52
Parasaur Skull, 2, I53
Parasaur Torso, 2, I54
Parasaur Tail, 2, I55
Plesio Skull, 2, I56
Plesio Neck, 2, I57
Plesio Torso, 2, I58
Ptera Body, 2, I59
Ptera Left Wing, 2, I60
Ptera Right Wing, 2, I61
Quetzal Torso, 2, I62
Quetzal Left Wing, 2, I63
Quetzal Right Wing, 2, I64
Sabertooth Skull, 2, I65
Sabertooth Tail, 2, I66
Shark-Tooth Pattern, 2, I67
Spino Skull, 2, I68
Spino Torso, 2, I69
Spino Tail, 2, I70
Stego Skull, 2, I71
Stego Torso, 2, I72
Stego Tail, 2, I73
T. Rex Skull, 2, I74
T. Rex Torso, 2, I75
T. Rex Tail, 2, I76
Tricera Skull, 2, I77
Tricera Torso, 2, I78
Tricera Tail, 2, I79
Trilobite, 2, I80
Cosmo (Black), 2, L9
Cosmo (Orange), 2, L10
Cosmo (Pink), 2, L11
Cosmo (Red), 2, L12
Cosmo (White), 2, L13
Cosmo (Yellow), 2, L14
Hyacinth (Blue), 2, L15
Hyacinth (Orange), 2, L16
Hyacinth (Pink), 2, L17
Hyacinth (Purple), 2, L18
Hyacinth (Red), 2, L19
Hyacinth (White), 2, L20
Hyacinth (Yellow), 2, L21
Lily (Black), 2, L22
Lily (Orange), 2, L23
Lily (Pink), 2, L24
Lily (Red), 2, L25
Lily (White), 2, L26
Lily (Yellow), 2, L27
Mum (Green), 2, L28
Mum (Pink), 2, L29
Mum (Purple), 2, L30
Mum (Red), 2, L31
Mum (White), 2, L32
Mum (Yellow), 2, L33
Pansy (Blue), 2, L34
Pansy (Orange), 2, L35
Pansy (Purple), 2, L36
Pansy (Red), 2, L37
Pansy (White), 2, L38
Pansy (Yellow), 2, L39
Rose (Black), 2, L40
Rose (Blue), 2, L41
Rose (Orange), 2, L42
Rose (Pink), 2, L43
Rose (Purple), 2, L44
Rose (Red), 2, L45
Rose (White), 2, L46
Rose (Yellow), 2, L47
Tulip (Black), 2, L48
Tulip (Orange), 2, L49
Tulip (Pink), 2, L50
Tulip (Purple), 2, L51
Tulip (Red), 2, L52
Tulip (White), 2, L53
Tulip (Yellow), 2, L54
Windflower (Blue), 2, L55
Windflower (Orange), 2, L56
Windflower (Pink), 2, L57
Windflower (Purple), 2, L58
Windflower (Red), 2, L59
Windflower (White), 2, L60
Aluminoid, 2, O9
Arfoid, 2, O10
Babbloid, 2, O11
Bendoid, 2, O12
Bloopoid, 2, O13
Boioingoid, 2, O14
Boomoid, 2, O15
Brewstoid, 2, O16
Bubbloid, 2, O17
Bwongoid, 2, O18
Clatteroid, 2, O19
Crumploid, 2, O20
Dootoid, 2, O21
Drummoid, 2, O22
Flutteroid, 2, O23
Jingloid, 2, O24
Laseroid, 2, O25
Oinkoid, 2, O26
Petaloid, 2, O27
Rattloid, 2, O28
Ringoid, 2, O29
Rumbloid, 2, O30
Scatteroid, 2, O31
Spikenoid, 2, O32
Sproingoid, 2, O33
Squeakoid, 2, O34
Squeezoid, 2, O35
Stelloid, 2, O36
Thwopoid, 2, O37
Tockoid, 2, O38
Tremoloid, 2, O39
Twangoid, 2, O40
Wallopoid, 2, O41
Whirroid, 2, O42
Whistloid, 2, O43
Xylophoid, 2, O44
