Fish Bait, 1: manila clam, 5
Mulch, 1: weeds, 5
Hybrid Wand, 1: Magic-infused Stick, 1; hybrid berry, 1
Rillaboom Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Sandaconda Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Snorlax Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Toxtricity Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Urshifu Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Venusaur Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Aloraichium Z, 1: Magic-infused Stone, 1; TM, 1
Buginium Z, 1: Magic-infused Stone, 1; TM, 1
Darkinium Z, 1: Magic-infused Stone, 1; TM, 1
Decidium Z, 1: Magic-infused Stone, 1; TM, 1
Dragonium Z, 1: Magic-infused Stone, 1; TM, 1
Eevium Z, 1: Magic-infused Stone, 1; TM, 1
Electrium Z, 1: Magic-infused Stone, 1; TM, 1
Fairium Z, 1: Magic-infused Stone, 1; TM, 1
Fightinium Z, 1: Magic-infused Stone, 1; TM, 1
Firium Z, 1: Magic-infused Stone, 1; TM, 1
Flyinium Z, 1: Magic-infused Stone, 1; TM, 1
Ghostium Z, 1: Magic-infused Stone, 1; TM, 1
Grassium Z, 1: Magic-infused Stone, 1; TM, 1
Groundium Z, 1: Magic-infused Stone, 1; TM, 1
Icium Z, 1: Magic-infused Stone, 1; TM, 1
Incinium Z, 1: Magic-infused Stone, 1; TM, 1
Kommonium Z, 1: Magic-infused Stone, 1; TM, 1
Lunalium Z, 1: Magic-infused Stone, 1; TM, 1
Lycanium Z, 1: Magic-infused Stone, 1; TM, 1
Marshadium Z, 1: Magic-infused Stone, 1; TM, 1
Mewnium Z, 1: Magic-infused Stone, 1; TM, 1
Mimikium Z, 1: Magic-infused Stone, 1; TM, 1
Normalium Z, 1: Magic-infused Stone, 1; TM, 1
Pikanium Z, 1: Magic-infused Stone, 1; TM, 1
Pikashunium Z, 1: Magic-infused Stone, 1; TM, 1
Poisonium Z, 1: Magic-infused Stone, 1; TM, 1
Primarium Z, 1: Magic-infused Stone, 1; TM, 1
Psychium Z, 1: Magic-infused Stone, 1; TM, 1
Rockium Z, 1: Magic-infused Stone, 1; TM, 1
Snorlium Z, 1: Magic-infused Stone, 1; TM, 1
Solganium Z, 1: Magic-infused Stone, 1; TM, 1
Steelium Z, 1: Magic-infused Stone, 1; TM, 1
Tapunium Z, 1: Magic-infused Stone, 1; TM, 1
Ultranecrozium Z, 1: Magic-infused Stone, 1; TM, 1
Waterium Z, 1: Magic-infused Stone, 1; TM, 1
